cycle_str,t_elapsed,unix_ts,cand_id,decode_success,sync_score,snr,llr_sd,ldpc_iters
251129_124330,13.029,1764420223.029,255,1,6.099178314208984,-6,3.1663346,1
251129_124330,13.039,1764420223.039,17,1,8.52626895904541,-1,2.9914978,1
251129_124330,13.104,1764420223.104,18,0,5.599222660064697,-1,2.5105824,0
251129_124330,13.055,1764420223.055,165,0,6.302282810211182,-5,2.6227777,0
251129_124330,13.103,1764420223.103,162,0,6.510015487670898,-5,2.5322084,0
251129_124330,13.199,1764420223.199,239,0,4.547251224517822,-14,2.357786,0
251129_124330,13.309,1764420223.309,200,1,8.017125129699707,-11,2.5961359,2
251129_124330,13.232,1764420223.232,131,0,5.736356258392334,-22,2.215986,0
251129_124330,13.31,1764420223.31,198,0,2.5742545127868652,-11,2.1883097,0
251129_124330,13.372,1764420223.372,164,1,10.377036094665527,-5,3.1056342,4
251129_124330,13.446,1764420223.446,236,1,8.586028099060059,-15,3.1002507,5
251129_124330,13.373,1764420223.373,202,0,3.1024184226989746,-13,2.053094,0
251129_124330,13.472,1764420223.472,111,0,2.4592559337615967,-10,1.9601638,0
251129_124330,13.513,1764420223.513,130,0,4.231940746307373,-22,1.9055198,0
251129_124330,13.592,1764420223.592,132,0,4.762310981750488,-22,1.8825141,0
251129_124330,13.702,1764420223.702,16,1,7.779541015625,-1,2.7594368,6
251129_124330,13.878,1764420223.878,201,1,6.644597053527832,-11,2.385601,5
251129_124330,14.209,1764420224.209,29,1,6.141414642333984,12,3.5541105,15
251129_124345,0.275,1764420225.275,199,1,6.106258869171143,-11,2.01861,17
251129_124345,0.559,1764420225.559,185,0,5.241837501525879,-2,3.0867608,28
251129_124345,0.694,1764420225.694,26,0,8.296648979187012,12,3.6503341,31
251129_124345,0.71,1764420225.71,79,1,8.477787017822266,-6,3.3154526,0
251129_124345,0.712,1764420225.712,150,0,2.7322371006011963,-4,2.8515074,0
251129_124345,0.714,1764420225.714,148,0,3.095315933227539,-4,2.6301444,0
251129_124345,0.711,1764420225.711,190,0,2.9768259525299072,-1,3.227796,0
251129_124345,0.719,1764420225.719,147,0,2.3081486225128174,-4,2.5697486,0
251129_124345,0.721,1764420225.721,80,0,4.5990800857543945,-7,2.3763661,0
251129_124345,0.723,1764420225.723,114,0,4.024593830108643,-8,2.3412793,0
251129_124345,0.725,1764420225.725,15,0,4.096728801727295,-3,2.2869234,0
251129_124345,0.708,1764420225.708,234,0,2.351938247680664,-15,3.4871132,0
251129_124345,0.727,1764420225.727,149,0,3.1998472213745117,-4,2.269889,0
251129_124345,0.709,1764420225.709,78,1,9.166930198669434,-6,3.3788736,0
251129_124345,0.707,1764420225.707,31,0,2.558838129043579,12,3.787588,0
251129_124345,0.762,1764420225.762,195,0,2.360752582550049,-3,1.7010303,0
251129_124345,0.734,1764420225.734,247,0,2.4101457595825195,-7,2.670347,0
251129_124345,0.735,1764420225.735,160,0,2.3958723545074463,-4,2.1568544,0
251129_124345,0.739,1764420225.739,194,0,2.4469826221466064,-2,1.7929837,0
251129_124345,0.738,1764420225.738,115,0,4.061816215515137,-8,2.1124208,0
251129_124345,0.74,1764420225.74,116,0,2.3360066413879395,-9,2.0522676,0
251129_124345,0.736,1764420225.736,30,0,2.536559581756592,12,3.9138877,0
251129_124345,1.31,1764420226.31,77,0,6.0755815505981445,-6,2.5981789,25
251129_124345,10.872,1764420235.872,531,0,2.7155377864837646,-13,1.9858005,0
