cycle_str,t_elapsed,unix_ts,cand_id,decode_success,sync_score,snr,llr_sd,ldpc_iters
251129_140230,14.188,1764424964.188,145,0,3.0025601387023926,-10,2.1671047,0
251129_140230,14.166,1764424964.166,368,0,9.895344734191895,12,2.1792605,0
251129_140230,14.19,1764424964.19,624,0,2.445840358734131,-4,2.1250656,0
251129_140230,14.19,1764424964.19,365,0,4.494784355163574,12,2.1651785,0
251129_140230,14.213,1764424964.213,597,0,3.683126211166382,-9,2.0533907,0
251129_140230,14.212,1764424964.212,601,0,7.8726983070373535,-9,2.0855536,0
251129_140230,14.192,1764424964.192,596,0,4.177152633666992,-9,2.145229,0
251129_140230,14.21,1764424964.21,366,0,9.948439598083496,12,2.1108437,0
251129_140230,14.232,1764424964.232,651,0,2.909203052520752,7,2.6030536,2
251129_140230,14.211,1764424964.211,371,0,2.901817798614502,12,2.0994117,0
251129_140230,14.214,1764424964.214,446,0,4.443172454833984,-3,2.0634775,0
251129_140230,14.252,1764424964.252,419,0,3.7901604175567627,12,2.0134835,0
251129_140230,14.233,1764424964.233,603,0,8.467048645019531,-9,2.040803,0
251129_140230,14.235,1764424964.235,604,0,4.2593607902526855,-9,2.0210822,0
251129_140230,14.234,1764424964.234,625,0,3.5476317405700684,-5,2.0346165,0
251129_140230,14.257,1764424964.257,193,0,2.6273343563079834,-8,1.9984987,0
251129_140230,14.253,1764424964.253,420,0,9.996670722961426,11,2.0194685,0
251129_140230,14.266,1764424964.266,372,0,2.4674341678619385,12,1.9375817,0
251129_140230,14.268,1764424964.268,594,0,2.3008434772491455,-9,1.9088099,0
251129_140230,14.267,1764424964.267,622,0,3.1934187412261963,-5,1.9672916,0
251129_140230,14.255,1764424964.255,423,0,4.5156989097595215,11,2.0013218,0
251129_140230,14.269,1764424964.269,97,0,3.4114484786987305,-2,1.9069028,0
251129_140230,14.271,1764424964.271,623,0,3.2055015563964844,-5,1.902142,0
251129_140230,14.299,1764424964.299,421,0,13.393095016479492,11,1.8316585,0
251129_140230,14.294,1764424964.294,447,0,3.5311636924743652,-4,1.882002,0
251129_140230,14.294,1764424964.294,96,0,2.5391128063201904,-3,1.8771067,0
251129_140230,14.297,1764424964.297,417,0,2.4401485919952393,11,1.8702322,0
251129_140230,14.295,1764424964.295,595,0,3.4352376461029053,-9,1.8845799,0
251129_140230,14.317,1764424964.317,416,0,2.400738477706909,11,1.8206029,0
251129_140245,0.528,1764424965.528,653,0,4.891127109527588,7,2.807793,44
251129_140245,11.581,1764424976.581,1012,0,3.317234516143799,-15,2.2476199,0
251129_140245,11.582,1764424976.582,1013,0,2.4335997104644775,-15,2.0584042,0
251129_140245,11.87,1764424976.87,1132,0,3.2400877475738525,-18,2.085417,0

251129_140245,11.873,1764424976.873,916,0,2.485090732574463,-14,2.1653094,0
251129_140245,11.87,1764424976.87,1131,0,4.858400821685791,-18,2.2178226,0
251129_140245,12.801,1764424977.801,1011,0,2.9839046001434326,-15,2.457883,33
251129_140245,12.888,1764424977.888,1150,0,2.330357551574707,-7,3.0865843,23
251129_140245,12.904,1764424977.904,1033,0,2.403515100479126,9,4.049729,21
251129_140245,12.956,1764424977.956,956,0,2.308382511138916,8,2.8217413,0
251129_140245,12.955,1764424977.955,1031,0,2.6724727153778076,9,3.3099844,0
251129_140245,12.958,1764424977.958,1003,0,2.770554304122925,-17,2.4399753,0
251129_140245,12.958,1764424977.958,1148,0,2.4187140464782715,-7,2.5718505,0
251129_140245,12.956,1764424977.956,1149,0,2.3139195442199707,-7,2.7694602,0
251129_140245,12.957,1764424977.957,983,0,2.6495683193206787,-7,2.7196405,0
