timestamp   		id   decoded  score   llr_sd   snr   n_its   time_in_decode
251127_172245_14.1 245       0    4.40    2.01    -9.0     0.0   0.001
251127_172245_14.1 242       0    3.38    2.01   -10.0     0.0   0.001
251127_172245_14.2 718       0    6.90    2.00    -9.0     0.0   0.000
251127_172245_14.3 736       0    2.84    1.96     1.0     0.0   0.001
251127_172245_14.3 721       0    4.02    1.83    -9.0     0.0   0.000
251127_172245_14.4 648       0    9.00    3.09    16.0    22.0   1.358
251127_172245_14.4 593       1    5.43    1.70   -13.0     5.0   0.262
251127_172245_14.6 651       0    8.82    3.26    16.0    31.0   1.739
251127_172245_14.7 741       0    2.58    2.69     1.0    31.0   1.662
251127_172245_14.8 750       0    3.31    3.29     2.0     0.0   0.002
251127_172245_14.8 305       0    2.75    3.27    12.0     0.0   0.003
251127_172245_14.8 1065       0    2.57    3.19   -12.0     0.0   0.003
251127_172245_14.9 747       0    2.78    3.13     2.0     0.0   0.004
251127_172245_14.9 1056       0    3.02    2.89   -12.0     0.0   0.001
251127_172300_0.0 1053       0    3.61    2.81   -12.0     0.0   0.001
251127_172300_0.1 1072       0    3.35    2.23   -12.0     0.0   0.001
251127_172300_0.1 1071       0    3.55    2.65   -12.0     0.0   0.001
251127_172300_0.1 1057       0    2.50    2.61   -12.0     0.0   0.001
251127_172300_0.2 137       1    7.68    2.70    -6.0     2.0   0.113
251127_172300_0.3 355       0    5.31    2.46   -17.0     0.0   0.002
251127_172300_0.3 138       0    6.26    2.42    -7.0     1.0   0.082
251127_172300_0.5 354       0    5.40    2.27   -17.0     0.0   0.011
251127_172300_0.5 751       0    2.89    3.05     2.0     0.0   0.008
251127_172300_0.6 139       0    2.91    2.06    -7.0     0.0   0.009
251127_172300_0.7 1073       0    2.84    1.93   -13.0     0.0   0.001
251127_172300_0.7 356       0    3.12    1.73   -18.0     0.0   0.000
251127_172300_0.8 1055       0    3.01    2.15   -13.0     0.0   0.001
251127_172300_1.0 1054       0    3.56    2.49   -12.0    19.0   1.171
251127_172300_1.0 304       0    3.06    3.83    12.0    24.0   1.259
251127_172300_1.0 136       0    5.82    2.14    -6.0    16.0   0.954
251127_172300_11.9 2419       0    3.11    2.55   -12.0     0.0   0.001
